status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date,Lat,Long,formatted_address,location_type
for_sale,1075000,2,2,,"301 E 22nd St Unit 6UT, New York City, NY, 10010",301 E 22nd St Unit 6UT,New York City,New York,10010,,,40.7372683,-73.9809854,"301 E 22nd St, New York, NY 10010, USA",ROOFTOP
for_sale,499000,,1,,"301 E 22nd St Apt 11U, New York City, NY, 10010",301 E 22nd St Apt 11U,New York City,New York,10010,,10/28/2014,40.7372683,-73.9809854,"301 E 22nd St #11u, New York, NY 10010, USA",ROOFTOP
for_sale,569000,2,2,,"273 Albany Ave Apt 2A, New York City, NY, 11213",273 Albany Ave Apt 2A,New York City,New York,11213,606,1/29/2014,40.671435,-73.9389081,"273 Albany Ave #2a, Brooklyn, NY 11213, USA",ROOFTOP
for_sale,1025000,2,1,,"11 Schermerhorn St Apt 1WF, New York City, NY, 11201",11 Schermerhorn St Apt 1WF,New York City,New York,11201,,1/19/2010,40.6915526,-73.9932472,"11 Schermerhorn St Apt 1wf, Brooklyn, NY 11201, USA",ROOFTOP
for_sale,1149999,2,1,,"365 W 20th St Apt 14E, New York City, NY, 10011",365 W 20th St Apt 14E,New York City,New York,10011,,10/13/2017,40.7445839,-74.0023215,"365 W 20th St #14e, New York, NY 10011, USA",ROOFTOP
for_sale,1900000,2,3,,"30 West St Apt 10B, New York City, NY, 10004",30 West St Apt 10B,New York City,New York,10004,1404,,40.7063162,-74.0169708,"30 West St #10b, New York, NY 10004, USA",ROOFTOP
for_sale,795000,1,1,,"245 E 54th St Apt 3S, New York City, NY, 10022",245 E 54th St Apt 3S,New York City,New York,10022,750,11/4/2016,40.7577737,-73.9667949,"245 E 54th St #3s, New York, NY 10022, USA",ROOFTOP
for_sale,325000,1,1,,"65-15 38th Ave Unit 3J, New York City, NY, 11377",65-15 38th Ave Unit 3J,New York City,New York,11377,825,,40.747278,-73.8978449,"65-15 38th Ave #3j, Queens, NY 11377, USA",ROOFTOP
for_sale,5175000,5,5,0.04,"212 E 32nd St, New York City, NY, 10016",212 E 32nd St,New York City,New York,10016,4080,12/26/1996,40.744024,-73.9784526,"212 E 32nd St, New York, NY 10016, USA",ROOFTOP
for_sale,2980000,4,4,,"669 Washington Ave, New York City, NY, 11238",669 Washington Ave,New York City,New York,11238,,10/6/2000,40.6771471,-73.9634181,"669 Washington Ave, Brooklyn, NY 11238, USA",ROOFTOP
for_sale,3195000,2,3,,"425 W 50th St Apt 12H, New York City, NY, 10019",425 W 50th St Apt 12H,New York City,New York,10019,1851,5/2/2016,40.7641461,-73.9901764,"425 W 50th St #12h, New York, NY 10019, USA",ROOFTOP
for_sale,8995000,6,4,0.04,"27 Bethune St, New York City, NY, 10014",27 Bethune St,New York City,New York,10014,3520,,40.7368391,-74.0073583,"27 Bethune St, New York, NY 10014, USA",ROOFTOP
for_sale,1250000,4,4,,"462 E 138th St, New York City, NY, 10454",462 E 138th St,New York City,New York,10454,,,40.8081041,-73.9210446,"462 E 138th St, The Bronx, NY 10454, USA",ROOFTOP
for_sale,444999,2,1,,"65-15 38th Ave Unit 6W, New York City, NY, 11377",65-15 38th Ave Unit 6W,New York City,New York,11377,950,7/25/2014,40.747278,-73.8978449,"65-15 38th Ave #6w, Queens, NY 11377, USA",ROOFTOP
for_sale,3000000,4,3,0.53,"211 E 18th St Unit 2RST, New York City, NY, 10003",211 E 18th St Unit 2RST,New York City,New York,10003,2150,3/13/2014,40.7354659,-73.9841568,"211 E 18th St, New York, NY 10003, USA",ROOFTOP
for_sale,17500000,5,6,,"114 E 65th St, New York City, NY, 10065",114 E 65th St,New York City,New York,10065,8000,5/30/2007,40.7662142,-73.9664942,"114 E 65th St, New York, NY 10065, USA",ROOFTOP
for_sale,550000,1,1,0.05,"682 Hancock St Unit 2B, New York City, NY, 11233",682 Hancock St Unit 2B,New York City,New York,11233,510,,40.6848556,-73.9281863,"682 Hancock St #2b, Brooklyn, NY 11233, USA",ROOFTOP
for_sale,550000,1,1,0.05,"682 Hancock St Unit 3B, New York City, NY, 11233",682 Hancock St Unit 3B,New York City,New York,11233,510,,40.6848556,-73.9281863,"682 Hancock St #3b, Brooklyn, NY 11233, USA",ROOFTOP
for_sale,550000,1,1,0.05,"682 Hancock St Unit 2A, New York City, NY, 11233",682 Hancock St Unit 2A,New York City,New York,11233,531,,40.6848556,-73.9281863,"682 Hancock St #2a, Brooklyn, NY 11233, USA",ROOFTOP
for_sale,550000,1,1,0.05,"682 Hancock St Unit 3A, New York City, NY, 11233",682 Hancock St Unit 3A,New York City,New York,11233,531,,40.6848556,-73.9281863,"682 Hancock St #3a, Brooklyn, NY 11233, USA",ROOFTOP
for_sale,549000,1,1,0.04,"479 Lexington Ave Unit 2A, New York City, NY, 11221",479 Lexington Ave Unit 2A,New York City,New York,11221,524,,40.7538262,-73.9736465,"479 Lexington Ave #2a, New York, NY 10017, USA",RANGE_INTERPOLATED
for_sale,580000,,1,0.06,"145 Sullivan St Apt 4D, New York City, NY, 10012",145 Sullivan St Apt 4D,New York City,New York,10012,,9/17/2013,40.7270036,-74.0016423,"145 Sullivan St #4d, New York, NY 10012, USA",ROOFTOP
for_sale,799000,1,1,,"128 W 70th St Apt 9, New York City, NY, 10023",128 W 70th St Apt 9,New York City,New York,10023,,,40.7761138,-73.9801195,"128 W 70th St Apt 9, New York, NY 10023, USA",ROOFTOP
for_sale,1075000,1,1,,"145 E 15th St Apt 15B, New York City, NY, 10003",145 E 15th St Apt 15B,New York City,New York,10003,,,40.7343053,-73.9869055,"145 E 15th St #15b, New York, NY 10003, USA",ROOFTOP
for_sale,930000,2,2,,"300 W 135th St Apt 5E, New York City, NY, 10030",300 W 135th St Apt 5E,New York City,New York,10030,987,7/27/2018,40.8163293,-73.9473251,"300 W 135th St #5e, New York, NY 10027, USA",ROOFTOP
for_sale,2965000,2,2,,"33 Park Unit 15B, New York City, NY, 10038",33 Park Unit 15B,New York City,New York,10038,1346,,40.8225202,-73.8071197,"33 Alden Park #15b, The Bronx, NY 10465, USA",ROOFTOP
for_sale,5375000,3,3,,"New York City, NY, 10010",,New York City,New York,10010,2432,,40.7388319,-73.9815337,"New York, NY 10010, USA",APPROXIMATE
